,from,to,database,source
210,Angptl1,Pirb,omnipath,omnipath
211,Angptl1,Gm14548,omnipath,omnipath
212,Angptl1,Gm15448,omnipath,omnipath
213,Angptl1,Pira12,omnipath,omnipath
214,Angptl1,Lilra5,omnipath,omnipath
215,Angptl1,Pira13,omnipath,omnipath
216,Angptl1,Tek,omnipath,omnipath
217,Angptl2,Itga5,omnipath,omnipath
218,Angptl2,Itgb1,omnipath,omnipath
219,Angptl2,Pira1,omnipath,omnipath
220,Angptl2,Pira2,omnipath,omnipath
221,Angptl2,Lilra6,omnipath,omnipath
222,Angptl2,Pira6,omnipath,omnipath
223,Angptl2,Pirb,omnipath,omnipath
224,Angptl2,Gm14548,omnipath,omnipath
225,Angptl2,Gm15448,omnipath,omnipath
226,Angptl2,Pira12,omnipath,omnipath
227,Angptl2,Lilra5,omnipath,omnipath
228,Angptl2,Pira13,omnipath,omnipath
229,Angptl2,Tie1,omnipath,omnipath
230,Angptl2,Tlr4,omnipath,omnipath
231,Angptl3,Itga5,omnipath,omnipath
232,Angptl3,Itgav,omnipath,omnipath
233,Angptl3,Itgb3,omnipath,omnipath
234,Angptl3,Lpl,omnipath,omnipath
235,Angptl4,Cdh11,omnipath,omnipath
236,Angptl4,Cdh5,omnipath,omnipath
237,Angptl4,Gpihbp1,omnipath,omnipath
238,Angptl4,Itga5,omnipath,omnipath
239,Angptl4,Itgav,omnipath,omnipath
240,Angptl4,Itgb1,omnipath,omnipath
241,Angptl4,Itgb3,omnipath,omnipath
242,Angptl4,Lpl,omnipath,omnipath
243,Angptl4,Sdc1,omnipath,omnipath
244,Angptl4,Sdc2,omnipath,omnipath
245,Angptl4,Sdc3,omnipath,omnipath
246,Angptl4,Sdc4,omnipath,omnipath
247,Angptl4,Tie1,omnipath,omnipath
248,Angptl6,Tek,omnipath,omnipath
249,Angptl7,Pira1,omnipath,omnipath
250,Angptl7,Pira2,omnipath,omnipath
251,Angptl7,Lilra6,omnipath,omnipath
252,Angptl7,Pira6,omnipath,omnipath
253,Angptl7,Pirb,omnipath,omnipath
254,Angptl7,Gm14548,omnipath,omnipath
255,Angptl7,Gm15448,omnipath,omnipath
256,Angptl7,Pira12,omnipath,omnipath
257,Angptl7,Lilra5,omnipath,omnipath
258,Angptl7,Pira13,omnipath,omnipath
259,Anpep,Sele,omnipath,omnipath
260,Antxr1,Treml2,nichenet_verschueren,nichenet_verschueren
261,Anxa1,Dysf,omnipath,omnipath
262,Anxa1,Egfr,omnipath,omnipath
263,Anxa1,Fpr1,omnipath,omnipath
264,Anxa1,Fpr2,omnipath,omnipath
265,Anxa1,Fpr3,omnipath,omnipath
266,Anxa2,Dysf,omnipath,omnipath
267,Anxa2,Egfr,omnipath,omnipath
268,Anxa2,Plat,omnipath,omnipath
269,Anxa2,Robo4,omnipath,omnipath
270,Anxa2,Tlr2,omnipath,omnipath
271,Apln,Aplnr,omnipath,omnipath
272,Apln,Grm7,omnipath,omnipath
273,Apoa1,Abca1,omnipath,omnipath
274,Apoa1,Ldlr,omnipath,omnipath
275,Apoa1,Lrp1,omnipath,omnipath
276,Apoa1,Lrp2,omnipath,omnipath
277,Apoa2,Ldlr,omnipath,omnipath
278,Apoa2,Lrp1,omnipath,omnipath
279,Apoa2,Lrp2,omnipath,omnipath
280,Apoa4,Ldlr,omnipath,omnipath
281,Apoa4,Lrp1,omnipath,omnipath
282,Apoa4,Lrp2,omnipath,omnipath
283,Apoa5,Lpl,omnipath,omnipath
284,Apob,Adrb2,omnipath,omnipath
285,Apob,Calcr,omnipath,omnipath
286,Apob,Itgam,omnipath,omnipath
287,Apob,Gm49368,omnipath,omnipath
288,Apob,Itgb2,omnipath,omnipath
289,Apob,Itgb2l,omnipath,omnipath
290,Apob,Ldlr,omnipath,omnipath
291,Apob,Lrp1,omnipath,omnipath
292,Apob,Lrp2,omnipath,omnipath
293,Apob,Lrp8,omnipath,omnipath
294,Apob,Lsr,omnipath,omnipath
295,Apob,Olr1,omnipath,omnipath
296,Apob,Tlr4,omnipath,omnipath
297,Apob,Tlr6,omnipath,omnipath
298,Apob,Trem2,omnipath,omnipath
299,Apob,Vldlr,omnipath,omnipath
300,Apoc1,Vldlr,omnipath,omnipath
301,Apoc2,Ldlr,omnipath,omnipath
302,Apoc2,Lpl,omnipath,omnipath
303,Apoc2,Lrp1,omnipath,omnipath
304,Apoc2,Lrp2,omnipath,omnipath
305,Apoc3,Ldlr,omnipath,omnipath
306,Apoc3,Lrp1,omnipath,omnipath
307,Apoc3,Lrp2,omnipath,omnipath
308,Apoc3,Sdc2,omnipath,omnipath
309,Apoc3,Tlr2,omnipath,omnipath
310,Apoc4,Vldlr,omnipath,omnipath
311,Apod,Lepr,omnipath,omnipath
312,Apoe,App,omnipath,omnipath
313,Apoe,Ldlr,omnipath,omnipath
314,Apoe,Lrp1,omnipath,omnipath
315,Apoe,Lrp2,omnipath,omnipath
316,Apoe,Lrp5,omnipath,omnipath
317,Apoe,Lrp8,omnipath,omnipath
318,Apoe,Scarb1,omnipath,omnipath
319,Apoe,Sorl1,omnipath,omnipath
320,Apoe,Trem2,omnipath,omnipath
321,Apoe,Vldlr,omnipath,omnipath
322,Apoo,Il1rapl1,omnipath,omnipath
323,Apoo,Il1rapl2,omnipath,omnipath
324,App,Bace1,omnipath,omnipath
325,App,Cd74,omnipath,omnipath
326,App,Flt1,nichenet_verschueren,nichenet_verschueren
327,App,Fpr2,omnipath,omnipath
328,App,Fpr3,omnipath,omnipath
329,App,Gpc1,omnipath,omnipath
330,App,Lrp1,omnipath,omnipath
331,App,Ncstn,omnipath,omnipath
332,App,Ngfr,omnipath,omnipath
333,App,Sorl1,omnipath,omnipath
334,App,Tnfrsf21,omnipath,omnipath
335,Areg,Egfr,omnipath,omnipath
336,Areg,Erbb2,omnipath,omnipath
337,Areg,Erbb3,omnipath,omnipath
338,Areg,Mmp9,omnipath,omnipath
339,Arf1,Pld2,nichenet_verschueren,nichenet_verschueren
340,Armh4,Tnfrsf11b,nichenet_verschueren,nichenet_verschueren
341,Artn,Gfra1,omnipath,omnipath
342,Artn,Gfra2,omnipath,omnipath
343,Artn,Gfra3,omnipath,omnipath
344,Artn,Ncam1,omnipath,omnipath
345,Artn,Ret,omnipath,omnipath
346,Atp1b1,Negr1,omnipath,omnipath
347,AU040320,Ildr1,omnipath,omnipath
348,AU040320,Mpzl3,omnipath,omnipath
349,AU040320,Siglecf,nichenet_verschueren,nichenet_verschueren
350,AU040320,Siglece,nichenet_verschueren,nichenet_verschueren
351,AU040320,Unc5a,omnipath,omnipath
352,Avp,Aqp2,omnipath,omnipath
353,Avp,Avpr1a,omnipath,omnipath
354,Avp,Avpr1b,omnipath,omnipath
355,Avp,Avpr2,omnipath,omnipath
356,Avp,Oxtr,omnipath,omnipath
357,Azgp1,Itgav,omnipath,omnipath
358,B2m,Klrc1,omnipath,omnipath
359,B2m,Klrc3,omnipath,omnipath
360,B2m,Klrc2,omnipath,omnipath
361,B2m,Klrd1,omnipath,omnipath
362,B2m,Tap1,omnipath,omnipath
363,B2m,Tap2,omnipath,omnipath
364,Bace1,App,omnipath,omnipath
365,Bace1,Selplg,omnipath,omnipath
366,Bace2,App,omnipath,omnipath
367,BC053393,Cd300lb,omnipath,omnipath
368,BC053393,Igsf21,omnipath,omnipath
369,BC053393,Siglec1,omnipath,omnipath
370,BC053393,Timd4,omnipath,omnipath
371,Bcan,Egfr,omnipath,omnipath
372,Bcan,Nrcam,omnipath,omnipath
373,Bdnf,Drd4,omnipath,omnipath
374,Bdnf,Erbb2,omnipath,omnipath
375,Bdnf,Ngfr,omnipath,omnipath
376,Bdnf,Ntrk2,omnipath,omnipath
377,Bdnf,Sort1,omnipath,omnipath
378,Bgn,Fgfr3,omnipath,omnipath
379,Bgn,Tlr1,omnipath,omnipath
380,Bgn,Tlr2,omnipath,omnipath
381,Bgn,Tlr4,omnipath,omnipath
382,Bmp1,Bmpr1a,omnipath,omnipath
383,Bmp1,Bmpr1b,omnipath,omnipath
384,Bmp1,Bmpr2,omnipath,omnipath
385,Bmp10,Acvr1,omnipath,omnipath
386,Bmp10,Acvr2a,omnipath,omnipath
387,Bmp10,Acvr2b,nichenet_verschueren,nichenet_verschueren
388,Bmp10,Acvrl1,omnipath,omnipath
389,Bmp10,Bmpr1a,omnipath,omnipath
390,Bmp10,Bmpr1b,omnipath,omnipath
391,Bmp10,Bmpr2,omnipath,omnipath
392,Bmp10,Eng,omnipath,omnipath
393,Bmp15,Acvr1,nichenet_verschueren,nichenet_verschueren
394,Bmp15,Acvr2a,omnipath,omnipath
395,Bmp15,Acvr2b,omnipath,omnipath
396,Bmp15,Bmpr1a,omnipath,omnipath
397,Bmp15,Bmpr1b,omnipath,omnipath
398,Bmp15,Bmpr2,omnipath,omnipath
399,Bmp15,Tgfbr1,omnipath,omnipath
400,Bmp2,Acvr1,omnipath,omnipath
401,Bmp2,Acvr2a,omnipath,omnipath
402,Bmp2,Acvr2b,omnipath,omnipath
403,Bmp2,Bmpr1a,omnipath,omnipath
404,Bmp2,Bmpr1b,omnipath,omnipath
405,Bmp2,Bmpr2,omnipath,omnipath
406,Bmp2,Eng,omnipath,omnipath
407,Bmp2,Hjv,omnipath,omnipath
408,Bmp3,Acvr1,nichenet_verschueren,nichenet_verschueren
409,Bmp3,Acvr1b,omnipath,omnipath
410,Bmp3,Acvr2a,omnipath,omnipath
411,Bmp3,Acvr2b,omnipath,omnipath
412,Bmp3,Bmpr1a,omnipath,omnipath
413,Bmp3,Bmpr1b,omnipath,omnipath
414,Bmp3,Bmpr2,omnipath,omnipath
415,Bmp4,Acvr1,nichenet_verschueren,nichenet_verschueren
416,Bmp4,Acvr2a,omnipath,omnipath
417,Bmp4,Acvr2b,omnipath,omnipath
418,Bmp4,Bmpr1a,omnipath,omnipath
419,Bmp4,Bmpr1b,omnipath,omnipath
420,Bmp4,Bmpr2,omnipath,omnipath
421,Bmp4,Grem2,omnipath,omnipath
422,Bmp5,Acvr1,omnipath,omnipath
423,Bmp5,Acvr2a,omnipath,omnipath
424,Bmp5,Acvr2b,omnipath,omnipath
425,Bmp5,Bmpr1a,omnipath,omnipath
426,Bmp5,Bmpr1b,omnipath,omnipath
427,Bmp5,Bmpr2,omnipath,omnipath
428,Bmp5,Hjv,omnipath,omnipath
429,Bmp5,Ptprd,omnipath,omnipath
430,Bmp6,Acvr1,omnipath,omnipath
431,Bmp6,Acvr2a,omnipath,omnipath
432,Bmp6,Acvr2b,omnipath,omnipath
433,Bmp6,Amhr2,omnipath,omnipath
434,Bmp6,Bmpr1a,omnipath,omnipath
435,Bmp6,Bmpr1b,omnipath,omnipath
436,Bmp6,Bmpr2,omnipath,omnipath
437,Bmp6,Hjv,omnipath,omnipath
438,Bmp7,Acvr1,omnipath,omnipath
439,Bmp7,Acvr2a,omnipath,omnipath
440,Bmp7,Acvr2b,omnipath,omnipath
441,Bmp7,Bmpr1a,omnipath,omnipath
442,Bmp7,Bmpr1b,omnipath,omnipath
443,Bmp7,Bmpr2,omnipath,omnipath
444,Bmp7,Eng,omnipath,omnipath
445,Bmp8a,Acvr1,omnipath,omnipath
446,Bmp8a,Acvr2a,omnipath,omnipath
447,Bmp8a,Acvr2b,omnipath,omnipath
448,Bmp8a,Bmpr1a,omnipath,omnipath
449,Bmp8a,Bmpr1b,omnipath,omnipath
450,Bmp8a,Bmpr2,omnipath,omnipath
451,Bmp8a,Tgfbr1,omnipath,omnipath
452,Bmp8a,Tgfbr2,omnipath,omnipath
453,Boc,Lilra6,omnipath,omnipath
454,Boc,Ptch1,omnipath,omnipath
455,Boc,Ptch2,omnipath,omnipath
456,Boc,Smo,omnipath,omnipath
457,Bpi,Slamf9,omnipath,omnipath
458,Bst2,Pira1,omnipath,omnipath
459,Bst2,Pira12,omnipath,omnipath
460,Bst2,Lilra5,omnipath,omnipath
461,Bst2,Lilra6,omnipath,omnipath
462,Bst2,Pira2,omnipath,omnipath
463,Bst2,Pirb,omnipath,omnipath
464,Bst2,Pira13,omnipath,omnipath
465,Btc,Egfr,omnipath,omnipath
466,Btc,Erbb2,omnipath,omnipath
467,Btc,Erbb3,omnipath,omnipath
468,Btc,Erbb4,omnipath,omnipath
469,Btla,Cd247,omnipath,omnipath
470,Btla,Cd276,omnipath,omnipath
471,Btla,Cd79a,omnipath,omnipath
472,Btla,Tnfrsf14,omnipath,omnipath
473,Btla,Vtcn1,omnipath,omnipath
474,Btn1a1,Jaml,omnipath,omnipath
475,Btn1a1,Negr1,omnipath,omnipath
476,Btn1a1,Tarm1,omnipath,omnipath
477,Btnl9,Il6ra,nichenet_verschueren,nichenet_verschueren
478,Btnl9,Lrfn5,omnipath,omnipath
479,C1qa,Cd33,omnipath,omnipath
480,C1qa,Cd93,omnipath,omnipath
481,C1qa,Cr1l,omnipath,omnipath
482,C1qa,Cspg4,omnipath,omnipath
483,C1qb,Cd33,omnipath,omnipath
484,C1qb,Lrp1,omnipath,omnipath
485,C1qtnf1,Avpr2,omnipath,omnipath
486,C1qtnf5,Mfrp,omnipath,omnipath
487,C3,C3ar1,omnipath,omnipath
488,C3,C5ar2,omnipath,omnipath
489,C3,Cd19,omnipath,omnipath
490,C3,Cd46,omnipath,omnipath
491,C3,Cr1l,omnipath,omnipath
492,C3,Cr2,omnipath,omnipath
493,C3,Itgam,omnipath,omnipath
494,C3,Gm49368,omnipath,omnipath
495,C3,Itgax,omnipath,omnipath
496,C3,Itgb2,omnipath,omnipath
497,C3,Itgb2l,omnipath,omnipath
498,C3,Lrp1,omnipath,omnipath
499,C3,Vsig4,omnipath,omnipath
500,C4b,C3ar1,omnipath,omnipath
501,C4b,C5ar2,omnipath,omnipath
502,C4b,Cd46,omnipath,omnipath
503,C4b,Cr1l,omnipath,omnipath
504,C4b,Cr2,omnipath,omnipath
505,C4b,Nrp1,omnipath,omnipath
506,C4bp,Bmpr2,omnipath,omnipath
507,C4bp,Cd40,omnipath,omnipath
508,C4bp,Lrp1,omnipath,omnipath
509,Cadm1,Cadm1,nichenet_verschueren,nichenet_verschueren
510,Cadm1,Cadm3,omnipath,omnipath
511,Cadm1,Erbb3,omnipath,omnipath
512,Cadm1,Nectin3,omnipath,omnipath
513,Cadm2,Cadm1,omnipath,omnipath
514,Cadm2,Cadm3,nichenet_verschueren,nichenet_verschueren
515,Cadm2,Cadm4,nichenet_verschueren,nichenet_verschueren
516,Cadm3,Cadm1,omnipath,omnipath
517,Cadm3,Cadm2,omnipath,omnipath
518,Cadm3,Cadm3,nichenet_verschueren,nichenet_verschueren
519,Cadm3,Cadm4,nichenet_verschueren,nichenet_verschueren
520,Cadm3,Cfap54,nichenet_verschueren,nichenet_verschueren
521,Cadm3,Il2rg,nichenet_verschueren,nichenet_verschueren
522,Cadm3,Lrch4,nichenet_verschueren,nichenet_verschueren
523,Cadm3,Gm20605,nichenet_verschueren,nichenet_verschueren
524,Cadm3,Nectin1,omnipath,omnipath
525,Cadm3,Nectin3,omnipath,omnipath
526,Cadm3,Pear1,omnipath,omnipath
527,Cadm3,Prlr,nichenet_verschueren,nichenet_verschueren
528,Cadm4,Cadm2,omnipath,omnipath
529,Cadm4,Cadm3,omnipath,omnipath
530,Cadm4,Erbb3,omnipath,omnipath
531,Cadm4,Mag,omnipath,omnipath
532,Cadm4,Sdk2,omnipath,omnipath
533,Calca,Calcr,omnipath,omnipath
534,Calca,Calcrl,omnipath,omnipath
535,Calca,Ramp1,omnipath,omnipath
536,Calca,Ramp2,omnipath,omnipath
537,Calca,Ramp3,omnipath,omnipath
538,Calcb,Calcr,omnipath,omnipath
539,Calcb,Calcrl,omnipath,omnipath
540,Calcb,Ramp1,omnipath,omnipath
541,Calcb,Ramp2,omnipath,omnipath
542,Calcb,Ramp3,omnipath,omnipath
543,Calm1,Cnga2,nichenet_verschueren,nichenet_verschueren
544,Calm1,Kcnh1,nichenet_verschueren,nichenet_verschueren
545,Calm1,Mylk,nichenet_verschueren,nichenet_verschueren
546,Calm1,Mylk2,nichenet_verschueren,nichenet_verschueren
547,Calm1,Pde1a,nichenet_verschueren,nichenet_verschueren
548,Calm1,Pde1b,nichenet_verschueren,nichenet_verschueren
549,Calm1,Pde1c,nichenet_verschueren,nichenet_verschueren
550,Calm2,Cnga2,nichenet_verschueren,nichenet_verschueren
551,Calm2,Kcnh1,nichenet_verschueren,nichenet_verschueren
552,Calm2,Mylk,nichenet_verschueren,nichenet_verschueren
553,Calm2,Mylk2,nichenet_verschueren,nichenet_verschueren
554,Calm2,Pde1a,nichenet_verschueren,nichenet_verschueren
555,Calm2,Pde1b,nichenet_verschueren,nichenet_verschueren
556,Calm2,Pde1c,nichenet_verschueren,nichenet_verschueren
557,Calm3,Cnga2,nichenet_verschueren,nichenet_verschueren
558,Calm3,Kcnh1,nichenet_verschueren,nichenet_verschueren
559,Calm3,Mylk,nichenet_verschueren,nichenet_verschueren
560,Calm3,Mylk2,nichenet_verschueren,nichenet_verschueren
561,Calm3,Pde1a,nichenet_verschueren,nichenet_verschueren
562,Calm3,Pde1b,nichenet_verschueren,nichenet_verschueren
563,Calm3,Pde1c,nichenet_verschueren,nichenet_verschueren
564,Calr,Itga2b,omnipath,omnipath
565,Calr,Itga3,omnipath,omnipath
566,Calr,Itgav,omnipath,omnipath
567,Calr,Lrp1,omnipath,omnipath
568,Calr,Mpl,omnipath,omnipath
569,Calr,Mtnr1a,omnipath,omnipath
570,Calr,Scarf1,omnipath,omnipath
571,Calr,Tap1,omnipath,omnipath
