dataset,platform,tool,parameter,best_value,metric_name
D2,starmap,scSLAT,pcs,20,clc
D2,starmap,Spateo_NR,knn,10,moran_I
D2,starmap,Spateo_NR,pcs,20,moran_I
D2,starmap,STalign,knn,30,moran_I
D3,starmapplus,STAGATE,knn,5,ari
D3,starmapplus,DeepST,knn,30,ari
D3,starmapplus,DeepST,pcs,50,ari
D3,starmapplus,STG3Net,knn,30,ari
D3,starmapplus,STG3Net,pcs,150,ari
D3,starmapplus,spatiAlign,knn,30,ari
D3,starmapplus,SEDR,knn,5,ari
D3,starmapplus,SEDR,pcs,20,ari
D3,starmapplus,CellCharter,knn,30,ari
D3,starmapplus,BANKSY,knn,10,ari
D3,starmapplus,SpaDo,knn,15,ari
D3,starmapplus,STAMP,knn,5,ari
D3,starmapplus,spCLUE,knn,15,ari
D3,starmapplus,spCLUE,pcs,200,ari
D3,starmapplus,stClinic,knn,5,ari
D3,starmapplus,stClinic,pcs,150,ari
D3,starmapplus,stMSA,knn,10,ari
D3,starmapplus,NicheCompass_batch,knn,5,ari
D3,starmapplus,STAligner,knn,10,ari
D3,starmapplus,SPIRAL,knn,20,ari
D3,starmapplus,SPACEL,knn,5,moran_I
D3,starmapplus,SANTO,knn,30,moran_I
D3,starmapplus,scSLAT,knn,30,clc
D3,starmapplus,scSLAT,pcs,10,clc
D3,starmapplus,Spateo_NR,knn,15,moran_I
D3,starmapplus,Spateo_NR,pcs,20,moran_I
D3,starmapplus,STalign,knn,30,moran_I
D4,merfish,STAGATE,knn,20,ari
D4,merfish,DeepST,knn,20,ari
D4,merfish,DeepST,pcs,200,ari
D4,merfish,STG3Net,knn,30,ari
D4,merfish,STG3Net,pcs,30,ari
D4,merfish,spatiAlign,knn,30,ari
D4,merfish,SEDR,knn,20,ari
D4,merfish,SEDR,pcs,100,ari
D4,merfish,CellCharter,knn,10,ari
D4,merfish,BANKSY,knn,30,ari
D4,merfish,SpaDo,knn,15,ari
D4,merfish,STAMP,knn,20,ari
D4,merfish,spCLUE,knn,10,ari
D4,merfish,spCLUE,pcs,30,ari
D4,merfish,stClinic,knn,30,ari
D4,merfish,stClinic,pcs,100,ari
D4,merfish,stMSA,knn,30,ari
D4,merfish,NicheCompass_batch,knn,15,ari
D4,merfish,STAligner,knn,20,ari
D4,merfish,SPIRAL,knn,10,ari
D4,merfish,SPACEL,knn,5,moran_I
D4,merfish,SANTO,knn,30,moran_I
D4,merfish,scSLAT,knn,20,clc
D4,merfish,scSLAT,pcs,10,clc
D4,merfish,Spateo_NR,knn,20,moran_I
D4,merfish,Spateo_NR,pcs,10,moran_I
D4,merfish,STalign,knn,30,moran_I
D5,stereoseq,STAGATE,knn,10,ari
D5,stereoseq,DeepST,knn,15,ari
D5,stereoseq,DeepST,pcs,20,ari
D5,stereoseq,STG3Net,knn,30,ari
D5,stereoseq,STG3Net,pcs,200,ari
D5,stereoseq,spatiAlign,knn,15,ari
D5,stereoseq,SEDR,knn,10,ari
D5,stereoseq,SEDR,pcs,100,ari
D5,stereoseq,CellCharter,knn,20,ari
D5,stereoseq,BANKSY,knn,15,ari
D5,stereoseq,SpaDo,knn,5,ari
D5,stereoseq,STAMP,knn,30,ari
D5,stereoseq,spCLUE,knn,30,ari
D5,stereoseq,spCLUE,pcs,20,ari
D5,stereoseq,stClinic,knn,5,ari
D5,stereoseq,stClinic,pcs,20,ari
D5,stereoseq,stMSA,knn,5,ari
D5,stereoseq,NicheCompass_batch,knn,15,ari
D5,stereoseq,STAligner,knn,15,ari
D5,stereoseq,SPIRAL,knn,20,ari
D5,stereoseq,SPACEL,knn,15,moran_I
D5,stereoseq,SANTO,knn,30,moran_I
D5,stereoseq,scSLAT,knn,30,clc
D5,stereoseq,scSLAT,pcs,10,clc
D5,stereoseq,Spateo_NR,knn,15,moran_I
D5,stereoseq,Spateo_NR,pcs,50,moran_I
D5,stereoseq,STalign,knn,5,moran_I
D6,slideseq,STAGATE,knn,20,ari
D6,slideseq,DeepST,knn,10,ari
D6,slideseq,DeepST,pcs,50,ari
D6,slideseq,STG3Net,knn,30,ari
D6,slideseq,STG3Net,pcs,200,ari
D6,slideseq,spatiAlign,knn,30,ari
D6,slideseq,SEDR,knn,30,ari
D6,slideseq,SEDR,pcs,200,ari
D6,slideseq,CellCharter,knn,10,ari
D6,slideseq,BANKSY,knn,30,ari
D6,slideseq,SpaDo,knn,10,ari
D6,slideseq,STAMP,knn,30,ari
D6,slideseq,spCLUE,knn,20,ari
D6,slideseq,spCLUE,pcs,150,ari
D6,slideseq,stClinic,knn,10,ari
D6,slideseq,stClinic,pcs,200,ari
D6,slideseq,stMSA,knn,15,ari
D6,slideseq,NicheCompass_batch,knn,30,ari
D6,slideseq,STAligner,knn,20,ari
D6,slideseq,SPIRAL,knn,30,ari
D6,slideseq,SPACEL,knn,15,moran_I
D6,slideseq,SANTO,knn,20,moran_I
D6,slideseq,scSLAT,knn,30,clc
D6,slideseq,scSLAT,pcs,10,clc
D6,slideseq,Spateo_NR,knn,30,moran_I
D6,slideseq,Spateo_NR,pcs,10,moran_I
D6,slideseq,STalign,knn,30,moran_I
D7,merscope,STAGATE,knn,5,ari
D7,merscope,DeepST,knn,5,ari
D7,merscope,DeepST,pcs,10,ari
D7,merscope,STG3Net,knn,5,ari
D7,merscope,STG3Net,pcs,10,ari
D7,merscope,spatiAlign,knn,5,ari
D7,merscope,SEDR,knn,5,ari
D7,merscope,SEDR,pcs,20,ari
D7,merscope,CellCharter,knn,10,ari
D7,merscope,BANKSY,knn,10,ari
D7,merscope,SpaDo,knn,20,ari
D7,merscope,STAMP,knn,5,ari
D7,merscope,spCLUE,knn,30,ari
D7,merscope,spCLUE,pcs,100,ari
D7,merscope,stClinic,knn,5,ari
D7,merscope,stClinic,pcs,150,ari
D7,merscope,stMSA,knn,30,ari
D7,merscope,NicheCompass_batch,knn,10,ari
D7,merscope,STAligner,knn,20,ari
D7,merscope,SPIRAL,knn,5,ari
D7,merscope,SPACEL,knn,5,moran_I
D7,merscope,SANTO,knn,15,moran_I
D7,merscope,scSLAT,knn,20,clc
D7,merscope,scSLAT,pcs,30,clc
D7,merscope,Spateo_NR,knn,15,moran_I
D7,merscope,Spateo_NR,pcs,150,moran_I
D7,merscope,STalign,knn,30,moran_I
D8,xenium,STAGATE,knn,5,ari
D8,xenium,DeepST,knn,20,ari
D8,xenium,DeepST,pcs,10,ari
D8,xenium,STG3Net,knn,5,ari
D8,xenium,STG3Net,pcs,20,ari
D8,xenium,spatiAlign,knn,5,ari
D8,xenium,SEDR,knn,20,ari
D8,xenium,SEDR,pcs,200,ari
D8,xenium,CellCharter,knn,20,ari
D8,xenium,BANKSY,knn,5,ari
D8,xenium,SpaDo,knn,10,ari
D8,xenium,STAMP,knn,30,ari
D8,xenium,spCLUE,knn,20,ari
D8,xenium,spCLUE,pcs,150,ari
D8,xenium,stClinic,knn,10,ari
D8,xenium,stClinic,pcs,150,ari
D8,xenium,stMSA,knn,15,ari
D8,xenium,NicheCompass_batch,knn,5,ari
D8,xenium,STAligner,knn,30,ari
D8,xenium,SPIRAL,knn,10,ari
D8,xenium,SPACEL,knn,5,moran_I
D8,xenium,SANTO,knn,15,moran_I
D8,xenium,scSLAT,knn,30,clc
D8,xenium,scSLAT,pcs,10,clc
D8,xenium,Spateo_NR,knn,5,moran_I
D8,xenium,Spateo_NR,pcs,50,moran_I
D8,xenium,STalign,knn,5,moran_I
D9,visium,STAGATE,knn,5,ari
D9,visium,DeepST,knn,10,ari
D9,visium,DeepST,pcs,200,ari
D9,visium,STG3Net,knn,30,ari
D9,visium,STG3Net,pcs,20,ari
D9,visium,spatiAlign,knn,10,ari
D9,visium,SEDR,knn,30,ari
D9,visium,SEDR,pcs,20,ari
D9,visium,CellCharter,knn,15,ari
D9,visium,BANKSY,knn,20,ari
D9,visium,SpaDo,knn,15,ari
D9,visium,STAMP,knn,30,ari
D9,visium,spCLUE,knn,10,ari
D9,visium,spCLUE,pcs,100,ari
D9,visium,stClinic,knn,5,ari
D9,visium,stClinic,pcs,200,ari
D9,visium,stMSA,knn,5,ari
D9,visium,NicheCompass_batch,knn,30,ari
D9,visium,STAligner,knn,5,ari
D9,visium,SPIRAL,knn,5,ari
D9,visium,SPACEL,knn,5,moran_I
D9,visium,SANTO,knn,5,moran_I
D9,visium,scSLAT,knn,30,clc
D9,visium,scSLAT,pcs,10,clc
D9,visium,Spateo_NR,knn,10,moran_I
D9,visium,Spateo_NR,pcs,200,moran_I
D9,visium,STalign,knn,30,moran_I
D10,visium,STAGATE,knn,5,ari
D10,visium,DeepST,knn,10,ari
D10,visium,DeepST,pcs,200,ari
D10,visium,STG3Net,knn,30,ari
D10,visium,STG3Net,pcs,20,ari
D10,visium,spatiAlign,knn,10,ari
D10,visium,SEDR,knn,30,ari
D10,visium,SEDR,pcs,20,ari
D10,visium,CellCharter,knn,15,ari
D10,visium,BANKSY,knn,20,ari
D10,visium,SpaDo,knn,15,ari
D10,visium,STAMP,knn,30,ari
D10,visium,spCLUE,knn,10,ari
D10,visium,spCLUE,pcs,100,ari
D10,visium,stClinic,knn,5,ari
D10,visium,stClinic,pcs,200,ari
D10,visium,stMSA,knn,5,ari
D10,visium,NicheCompass_batch,knn,30,ari
D10,visium,STAligner,knn,5,ari
D10,visium,SPIRAL,knn,5,ari
D10,visium,SPACEL,knn,5,moran_I
D10,visium,SANTO,knn,5,moran_I
D10,visium,scSLAT,knn,30,clc
D10,visium,scSLAT,pcs,10,clc
D10,visium,Spateo_NR,knn,10,moran_I
D10,visium,Spateo_NR,pcs,200,moran_I
D10,visium,STalign,knn,30,moran_I
D11,visium,STAGATE,knn,5,ari
D11,visium,DeepST,knn,10,ari
D11,visium,DeepST,pcs,200,ari
D11,visium,STG3Net,knn,30,ari
D11,visium,STG3Net,pcs,20,ari
D11,visium,spatiAlign,knn,10,ari
D11,visium,SEDR,knn,30,ari
D11,visium,SEDR,pcs,20,ari
D11,visium,CellCharter,knn,15,ari
D11,visium,BANKSY,knn,20,ari
D11,visium,SpaDo,knn,15,ari
D11,visium,STAMP,knn,30,ari
D11,visium,spCLUE,knn,10,ari
D11,visium,spCLUE,pcs,100,ari
D11,visium,stClinic,knn,5,ari
D11,visium,stClinic,pcs,200,ari
D11,visium,stMSA,knn,5,ari
D11,visium,NicheCompass_batch,knn,30,ari
D11,visium,STAligner,knn,5,ari
D11,visium,SPIRAL,knn,5,ari
D11,visium,SPACEL,knn,5,moran_I
D11,visium,SANTO,knn,5,moran_I
D11,visium,scSLAT,knn,30,clc
D11,visium,scSLAT,pcs,10,clc
D11,visium,Spateo_NR,knn,10,moran_I
D11,visium,Spateo_NR,pcs,200,moran_I
D11,visium,STalign,knn,30,moran_I
D12,visium,STAGATE,knn,5,ari
D12,visium,DeepST,knn,10,ari
D12,visium,DeepST,pcs,200,ari
D12,visium,STG3Net,knn,30,ari
D12,visium,STG3Net,pcs,20,ari
D12,visium,spatiAlign,knn,10,ari
D12,visium,SEDR,knn,30,ari
D12,visium,SEDR,pcs,20,ari
D12,visium,CellCharter,knn,15,ari
D12,visium,BANKSY,knn,20,ari
D12,visium,SpaDo,knn,15,ari
D12,visium,STAMP,knn,30,ari
D12,visium,spCLUE,knn,10,ari
D12,visium,spCLUE,pcs,100,ari
D12,visium,stClinic,knn,5,ari
D12,visium,stClinic,pcs,200,ari
D12,visium,stMSA,knn,5,ari
D12,visium,NicheCompass_batch,knn,30,ari
D12,visium,STAligner,knn,5,ari
D12,visium,SPIRAL,knn,5,ari
D12,visium,SPACEL,knn,5,moran_I
D12,visium,SANTO,knn,5,moran_I
D12,visium,scSLAT,knn,30,clc
D12,visium,scSLAT,pcs,10,clc
D12,visium,Spateo_NR,knn,10,moran_I
D12,visium,Spateo_NR,pcs,200,moran_I
D12,visium,STalign,knn,30,moran_I
D13,visium,STAGATE,knn,5,ari
D13,visium,DeepST,knn,10,ari
D13,visium,DeepST,pcs,200,ari
D13,visium,STG3Net,knn,30,ari
D13,visium,STG3Net,pcs,20,ari
D13,visium,spatiAlign,knn,10,ari
D13,visium,SEDR,knn,30,ari
D13,visium,SEDR,pcs,20,ari
D13,visium,CellCharter,knn,15,ari
D13,visium,BANKSY,knn,20,ari
D13,visium,SpaDo,knn,15,ari
D13,visium,STAMP,knn,30,ari
D13,visium,spCLUE,knn,10,ari
D13,visium,spCLUE,pcs,100,ari
D13,visium,stClinic,knn,5,ari
D13,visium,stClinic,pcs,200,ari
D13,visium,stMSA,knn,5,ari
D13,visium,NicheCompass_batch,knn,30,ari
D13,visium,STAligner,knn,5,ari
D13,visium,SPIRAL,knn,5,ari
D13,visium,SPACEL,knn,5,moran_I
D13,visium,SANTO,knn,5,moran_I
D13,visium,scSLAT,knn,30,clc
D13,visium,scSLAT,pcs,10,clc
D13,visium,Spateo_NR,knn,10,moran_I
D13,visium,Spateo_NR,pcs,200,moran_I
D13,visium,STalign,knn,30,moran_I
D14,visium,STAGATE,knn,5,ari
D14,visium,DeepST,knn,10,ari
D14,visium,DeepST,pcs,200,ari
D14,visium,STG3Net,knn,30,ari
D14,visium,STG3Net,pcs,20,ari
D14,visium,spatiAlign,knn,10,ari
D14,visium,SEDR,knn,30,ari
D14,visium,SEDR,pcs,20,ari
D14,visium,CellCharter,knn,15,ari
D14,visium,BANKSY,knn,20,ari
D14,visium,SpaDo,knn,15,ari
D14,visium,STAMP,knn,30,ari
D14,visium,spCLUE,knn,10,ari
D14,visium,spCLUE,pcs,100,ari
D14,visium,stClinic,knn,5,ari
D14,visium,stClinic,pcs,200,ari
D14,visium,stMSA,knn,5,ari
D14,visium,NicheCompass_batch,knn,30,ari
D14,visium,STAligner,knn,5,ari
D14,visium,SPIRAL,knn,5,ari
D14,visium,SPACEL,knn,5,moran_I
D14,visium,SANTO,knn,5,moran_I
D14,visium,scSLAT,knn,30,clc
D14,visium,scSLAT,pcs,10,clc
D14,visium,Spateo_NR,knn,10,moran_I
D14,visium,Spateo_NR,pcs,200,moran_I
D14,visium,STalign,knn,30,moran_I
D15,visium,STAGATE,knn,5,ari
D15,visium,DeepST,knn,10,ari
D15,visium,DeepST,pcs,200,ari
D15,visium,STG3Net,knn,30,ari
D15,visium,STG3Net,pcs,20,ari
D15,visium,spatiAlign,knn,10,ari
D15,visium,SEDR,knn,30,ari
D15,visium,SEDR,pcs,20,ari
D15,visium,CellCharter,knn,15,ari
D15,visium,BANKSY,knn,20,ari
D15,visium,SpaDo,knn,15,ari
D15,visium,STAMP,knn,30,ari
D15,visium,spCLUE,knn,10,ari
D15,visium,spCLUE,pcs,100,ari
D15,visium,stClinic,knn,5,ari
D15,visium,stClinic,pcs,200,ari
D15,visium,stMSA,knn,5,ari
D15,visium,NicheCompass_batch,knn,30,ari
D15,visium,STAligner,knn,5,ari
D15,visium,SPIRAL,knn,5,ari
D15,visium,SPACEL,knn,5,moran_I
D15,visium,SANTO,knn,5,moran_I
D15,visium,scSLAT,knn,30,clc
D15,visium,scSLAT,pcs,10,clc
D15,visium,Spateo_NR,knn,10,moran_I
D15,visium,Spateo_NR,pcs,200,moran_I
D15,visium,STalign,knn,30,moran_I
D16,visium,STAGATE,knn,5,ari
D16,visium,DeepST,knn,10,ari
D16,visium,DeepST,pcs,200,ari
D16,visium,STG3Net,knn,30,ari
D16,visium,STG3Net,pcs,20,ari
D16,visium,spatiAlign,knn,10,ari
D16,visium,SEDR,knn,30,ari
D16,visium,SEDR,pcs,20,ari
D16,visium,CellCharter,knn,15,ari
D16,visium,BANKSY,knn,20,ari
D16,visium,SpaDo,knn,15,ari
D16,visium,STAMP,knn,30,ari
D16,visium,spCLUE,knn,10,ari
D16,visium,spCLUE,pcs,100,ari
D16,visium,stClinic,knn,5,ari
D16,visium,stClinic,pcs,200,ari
D16,visium,stMSA,knn,5,ari
D16,visium,NicheCompass_batch,knn,30,ari
D16,visium,STAligner,knn,5,ari
D16,visium,SPIRAL,knn,5,ari
D16,visium,SPACEL,knn,5,moran_I
D16,visium,SANTO,knn,5,moran_I
D16,visium,scSLAT,knn,30,clc
D16,visium,scSLAT,pcs,10,clc
D16,visium,Spateo_NR,knn,10,moran_I
D16,visium,Spateo_NR,pcs,200,moran_I
D16,visium,STalign,knn,30,moran_I
D17,visium,STAGATE,knn,5,ari
D17,visium,DeepST,knn,10,ari
D17,visium,DeepST,pcs,200,ari
D17,visium,STG3Net,knn,30,ari
D17,visium,STG3Net,pcs,20,ari
D17,visium,spatiAlign,knn,10,ari
D17,visium,SEDR,knn,30,ari
D17,visium,SEDR,pcs,20,ari
D17,visium,CellCharter,knn,15,ari
D17,visium,BANKSY,knn,20,ari
D17,visium,SpaDo,knn,15,ari
D17,visium,STAMP,knn,30,ari
D17,visium,spCLUE,knn,10,ari
D17,visium,spCLUE,pcs,100,ari
D17,visium,stClinic,knn,5,ari
D17,visium,stClinic,pcs,200,ari
D17,visium,stMSA,knn,5,ari
D17,visium,NicheCompass_batch,knn,30,ari
D17,visium,STAligner,knn,5,ari
D17,visium,SPIRAL,knn,5,ari
D17,visium,SPACEL,knn,5,moran_I
D17,visium,SANTO,knn,5,moran_I
D17,visium,scSLAT,knn,30,clc
D17,visium,scSLAT,pcs,10,clc
D17,visium,Spateo_NR,knn,10,moran_I
D17,visium,Spateo_NR,pcs,200,moran_I
D17,visium,STalign,knn,30,moran_I
D18,visium,STAGATE,knn,5,ari
D18,visium,DeepST,knn,10,ari
D18,visium,DeepST,pcs,200,ari
D18,visium,STG3Net,knn,30,ari
D18,visium,STG3Net,pcs,20,ari
D18,visium,spatiAlign,knn,10,ari
D18,visium,SEDR,knn,30,ari
D18,visium,SEDR,pcs,20,ari
D18,visium,CellCharter,knn,15,ari
D18,visium,BANKSY,knn,20,ari
D18,visium,SpaDo,knn,15,ari
D18,visium,STAMP,knn,30,ari
D18,visium,spCLUE,knn,10,ari
D18,visium,spCLUE,pcs,100,ari
D18,visium,stClinic,knn,5,ari
D18,visium,stClinic,pcs,200,ari
D18,visium,stMSA,knn,5,ari
D18,visium,NicheCompass_batch,knn,30,ari
D18,visium,STAligner,knn,5,ari
D18,visium,SPIRAL,knn,5,ari
D18,visium,SPACEL,knn,5,moran_I
D18,visium,SANTO,knn,5,moran_I
D18,visium,scSLAT,knn,30,clc
D18,visium,scSLAT,pcs,10,clc
D18,visium,Spateo_NR,knn,10,moran_I
D18,visium,Spateo_NR,pcs,200,moran_I
D18,visium,STalign,knn,30,moran_I
D19,visium,STAGATE,knn,5,ari
D19,visium,DeepST,knn,10,ari
D19,visium,DeepST,pcs,200,ari
D19,visium,STG3Net,knn,30,ari
D19,visium,STG3Net,pcs,20,ari
D19,visium,spatiAlign,knn,10,ari
D19,visium,SEDR,knn,30,ari
D19,visium,SEDR,pcs,20,ari
D19,visium,CellCharter,knn,15,ari
D19,visium,BANKSY,knn,20,ari
D19,visium,SpaDo,knn,15,ari
D19,visium,STAMP,knn,30,ari
D19,visium,spCLUE,knn,10,ari
D19,visium,spCLUE,pcs,100,ari
D19,visium,stClinic,knn,5,ari
D19,visium,stClinic,pcs,200,ari
D19,visium,stMSA,knn,5,ari
D19,visium,NicheCompass_batch,knn,30,ari
D19,visium,STAligner,knn,5,ari
D19,visium,SPIRAL,knn,5,ari
D19,visium,SPACEL,knn,5,moran_I
D19,visium,SANTO,knn,5,moran_I
D19,visium,scSLAT,knn,30,clc
D19,visium,scSLAT,pcs,10,clc
D19,visium,Spateo_NR,knn,10,moran_I
D19,visium,Spateo_NR,pcs,200,moran_I
D19,visium,STalign,knn,30,moran_I
D20,visium,STAGATE,knn,5,ari
D20,visium,DeepST,knn,10,ari
D20,visium,DeepST,pcs,200,ari
D20,visium,STG3Net,knn,30,ari
D20,visium,STG3Net,pcs,20,ari
D20,visium,spatiAlign,knn,10,ari
D20,visium,SEDR,knn,30,ari
D20,visium,SEDR,pcs,20,ari
D20,visium,CellCharter,knn,15,ari
D20,visium,BANKSY,knn,20,ari
D20,visium,SpaDo,knn,15,ari
D20,visium,STAMP,knn,30,ari
D20,visium,spCLUE,knn,10,ari
D20,visium,spCLUE,pcs,100,ari
D20,visium,stClinic,knn,5,ari
D20,visium,stClinic,pcs,200,ari
D20,visium,stMSA,knn,5,ari
D20,visium,NicheCompass_batch,knn,30,ari
D20,visium,STAligner,knn,5,ari
D20,visium,SPIRAL,knn,5,ari
D20,visium,SPACEL,knn,5,moran_I
D20,visium,SANTO,knn,5,moran_I
D20,visium,scSLAT,knn,30,clc
D20,visium,scSLAT,pcs,10,clc
D20,visium,Spateo_NR,knn,10,moran_I
D20,visium,Spateo_NR,pcs,200,moran_I
D20,visium,STalign,knn,30,moran_I
D21,visium,STAGATE,knn,5,ari
D21,visium,DeepST,knn,10,ari
D21,visium,DeepST,pcs,200,ari
D21,visium,STG3Net,knn,30,ari
D21,visium,STG3Net,pcs,20,ari
D21,visium,spatiAlign,knn,10,ari
D21,visium,SEDR,knn,30,ari
D21,visium,SEDR,pcs,20,ari
D21,visium,CellCharter,knn,15,ari
D21,visium,BANKSY,knn,20,ari
D21,visium,SpaDo,knn,15,ari
D21,visium,STAMP,knn,30,ari
D21,visium,spCLUE,knn,10,ari
D21,visium,spCLUE,pcs,100,ari
D21,visium,stClinic,knn,5,ari
D21,visium,stClinic,pcs,200,ari
D21,visium,stMSA,knn,5,ari
D21,visium,NicheCompass_batch,knn,30,ari
D21,visium,STAligner,knn,5,ari
D21,visium,SPIRAL,knn,5,ari
D21,visium,SPACEL,knn,5,moran_I
D21,visium,SANTO,knn,5,moran_I
D21,visium,scSLAT,knn,30,clc
D21,visium,scSLAT,pcs,10,clc
D21,visium,Spateo_NR,knn,10,moran_I
D21,visium,Spateo_NR,pcs,200,moran_I
D21,visium,STalign,knn,30,moran_I
D22,visium,STAGATE,knn,5,ari
D22,visium,DeepST,knn,10,ari
D22,visium,DeepST,pcs,200,ari
D22,visium,STG3Net,knn,30,ari
D22,visium,STG3Net,pcs,20,ari
D22,visium,spatiAlign,knn,10,ari
D22,visium,SEDR,knn,30,ari
D22,visium,SEDR,pcs,20,ari
D22,visium,CellCharter,knn,15,ari
D22,visium,BANKSY,knn,20,ari
D22,visium,SpaDo,knn,15,ari
D22,visium,STAMP,knn,30,ari
D22,visium,spCLUE,knn,10,ari
D22,visium,spCLUE,pcs,100,ari
D22,visium,stClinic,knn,5,ari
D22,visium,stClinic,pcs,200,ari
D22,visium,stMSA,knn,5,ari
D22,visium,NicheCompass_batch,knn,30,ari
D22,visium,STAligner,knn,5,ari
D22,visium,SPIRAL,knn,5,ari
D22,visium,SPACEL,knn,5,moran_I
D22,visium,SANTO,knn,5,moran_I
D22,visium,scSLAT,knn,30,clc
D22,visium,scSLAT,pcs,10,clc
D22,visium,Spateo_NR,knn,10,moran_I
D22,visium,Spateo_NR,pcs,200,moran_I
D22,visium,STalign,knn,30,moran_I
D23,visium,STAGATE,knn,5,ari
D23,visium,DeepST,knn,10,ari
D23,visium,DeepST,pcs,200,ari
D23,visium,STG3Net,knn,30,ari
D23,visium,STG3Net,pcs,20,ari
D23,visium,spatiAlign,knn,10,ari
D23,visium,SEDR,knn,30,ari
D23,visium,SEDR,pcs,20,ari
D23,visium,CellCharter,knn,15,ari
D23,visium,BANKSY,knn,20,ari
D23,visium,SpaDo,knn,15,ari
D23,visium,STAMP,knn,30,ari
D23,visium,spCLUE,knn,10,ari
D23,visium,spCLUE,pcs,100,ari
D23,visium,stClinic,knn,5,ari
D23,visium,stClinic,pcs,200,ari
D23,visium,stMSA,knn,5,ari
D23,visium,NicheCompass_batch,knn,30,ari
D23,visium,STAligner,knn,5,ari
D23,visium,SPIRAL,knn,5,ari
D23,visium,SPACEL,knn,5,moran_I
D23,visium,SANTO,knn,5,moran_I
D23,visium,scSLAT,knn,30,clc
D23,visium,scSLAT,pcs,10,clc
D23,visium,Spateo_NR,knn,10,moran_I
D23,visium,Spateo_NR,pcs,200,moran_I
D23,visium,STalign,knn,30,moran_I
D24,visium,STAGATE,knn,5,ari
D24,visium,DeepST,knn,10,ari
D24,visium,DeepST,pcs,200,ari
D24,visium,STG3Net,knn,30,ari
D24,visium,STG3Net,pcs,20,ari
D24,visium,spatiAlign,knn,10,ari
D24,visium,SEDR,knn,30,ari
D24,visium,SEDR,pcs,20,ari
D24,visium,CellCharter,knn,15,ari
D24,visium,BANKSY,knn,20,ari
D24,visium,SpaDo,knn,15,ari
D24,visium,STAMP,knn,30,ari
D24,visium,spCLUE,knn,10,ari
D24,visium,spCLUE,pcs,100,ari
D24,visium,stClinic,knn,5,ari
D24,visium,stClinic,pcs,200,ari
D24,visium,stMSA,knn,5,ari
D24,visium,NicheCompass_batch,knn,30,ari
D24,visium,STAligner,knn,5,ari
D24,visium,SPIRAL,knn,5,ari
D24,visium,SPACEL,knn,5,moran_I
D24,visium,SANTO,knn,5,moran_I
D24,visium,scSLAT,knn,30,clc
D24,visium,scSLAT,pcs,10,clc
D24,visium,Spateo_NR,knn,10,moran_I
D24,visium,Spateo_NR,pcs,200,moran_I
D24,visium,STalign,knn,30,moran_I
D25,visium,STAGATE,knn,5,ari
D25,visium,DeepST,knn,10,ari
D25,visium,DeepST,pcs,200,ari
D25,visium,STG3Net,knn,30,ari
D25,visium,STG3Net,pcs,20,ari
D25,visium,spatiAlign,knn,10,ari
D25,visium,SEDR,knn,30,ari
D25,visium,SEDR,pcs,20,ari
D25,visium,CellCharter,knn,15,ari
D25,visium,BANKSY,knn,20,ari
D25,visium,SpaDo,knn,15,ari
D25,visium,STAMP,knn,30,ari
D25,visium,spCLUE,knn,10,ari
D25,visium,spCLUE,pcs,100,ari
D25,visium,stClinic,knn,5,ari
